itemCode,category,itemName,unit,tier,unitPrice,pricingNote,sourceUrl
FND_008,Móng,Bê tông móng thương phẩm M250,m3,standard,1720000,Neo theo BOQ thực tế,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
FND_009,Móng,Cốt thép móng gia công lắp dựng,kg,standard,20000,Quy đổi khoảng 20 triệu/tấn,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
FND_010,Móng,Ván khuôn móng ván phủ phim,m2,standard,175000,Quy đổi từ BOQ,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
STR_001,Kết cấu,Bê tông cột M250,m3,standard,1850000,"Bao gồm bơm, hao hụt cơ bản",https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
STR_002,Kết cấu,Bê tông dầm M250,m3,standard,1850000,"Bao gồm bơm, hao hụt cơ bản",https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
STR_003,Kết cấu,Bê tông sàn M250,m3,standard,1800000,"Bao gồm bơm, hao hụt cơ bản",https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
STR_004,Kết cấu,Bê tông cầu thang M250,m3,standard,1950000,Thi công phức tạp hơn sàn,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
STR_005,Kết cấu,Cốt thép cột gia công lắp dựng,kg,standard,20500,Giá tổng hợp vật tư + gia công,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
STR_006,Kết cấu,Cốt thép dầm gia công lắp dựng,kg,standard,20500,Giá tổng hợp vật tư + gia công,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
STR_007,Kết cấu,Cốt thép sàn gia công lắp dựng,kg,standard,20200,Giá tổng hợp vật tư + gia công,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
STR_009,Kết cấu,Ván khuôn cột,m2,standard,230000,Giá demo,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
STR_010,Kết cấu,Ván khuôn dầm,m2,standard,240000,Giá demo,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
STR_011,Kết cấu,Ván khuôn sàn,m2,standard,190000,Giá demo,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
MAS_001,Xây trát,"Xây tường gạch 110, vữa XM M75",m2,standard,285000,Vật tư + nhân công,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
MAS_002,Xây trát,"Xây tường gạch 220, vữa XM M75",m2,standard,465000,Vật tư + nhân công,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
MAS_003,Xây trát,Xây tường rào gạch 110,m2,standard,305000,Ngoài trời,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
MAS_004,Xây trát,Trát tường trong nhà dày 15mm,m2,standard,125000,Vật tư + nhân công,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
MAS_005,Xây trát,Trát tường ngoài nhà dày 15mm,m2,standard,145000,Có phụ phí ngoài trời,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
MAS_006,Xây trát,Trát trần bê tông,m2,standard,155000,Giá demo,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
MAS_007,Xây trát,Cán nền vữa xi măng dày 20–30mm,m2,standard,115000,Vật tư + nhân công,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
WPF_001,Chống thấm,Chống thấm sàn WC 2 lớp,m2,standard,235000,Vật tư phổ thông + nhân công,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
WPF_002,Chống thấm,Chống thấm ban công/logia,m2,standard,220000,Giá demo,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
WPF_003,Chống thấm,Chống thấm mái bê tông,m2,standard,245000,Giá demo,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
WPF_004,Chống thấm,Chống thấm bể nước/bể phốt,m2,standard,285000,Môi trường ẩm thường xuyên,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
WPF_005,Chống thấm,Thử nước và xử lý cổ ống,điểm,standard,350000,Theo điểm,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
FIN_001,Hoàn thiện,Bả matit tường trong nhà 2 lớp,m2,standard,55000,Vật tư + nhân công,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
FIN_002,Hoàn thiện,Sơn nội thất hoàn thiện 1 lót 2 phủ,m2,standard,95000,Phân khúc tiêu chuẩn,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
FIN_003,Hoàn thiện,Sơn ngoại thất hoàn thiện 1 lót 2 phủ,m2,standard,135000,Phân khúc tiêu chuẩn,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
FIN_004,Hoàn thiện,Lát nền gạch 600x600 hoàn thiện,m2,standard,420000,Gồm gạch mức 220–260k/m2 + thi công,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
FIN_005,Hoàn thiện,Lát nền gạch 800x800 hoàn thiện,m2,standard,520000,Gồm gạch mức trung bình + thi công,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
FIN_006,Hoàn thiện,Ốp tường WC gạch 300x600,m2,standard,460000,Gồm gạch + keo/vữa + nhân công,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
FIN_007,Hoàn thiện,Lát sàn WC chống trơn,m2,standard,470000,Gồm gạch + thi công,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
FIN_008,Hoàn thiện,Ốp đá cầu thang granite,m2,standard,1250000,Đá tiêu chuẩn + lắp đặt,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
DOR_001,Cửa,"Cửa chính gỗ tự nhiên 4 cánh, phụ kiện đồng bộ",m2,standard,3300000,Neo theo BOQ thực tế,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
DOR_002,Cửa,"Cửa phòng composite 1 cánh, phụ kiện đồng bộ",m2,standard,2530000,Neo theo BOQ thực tế,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
DOR_003,Cửa,Cửa WC composite chống nước,m2,standard,1980000,Neo theo BOQ thực tế,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
DOR_004,Cửa,Cửa đi nhôm kính 1 cánh mở quay,m2,standard,2450000,PMA/Xingfa VN phân khúc trung bình,https://cuanhomkinhhn.com/cua-nhom-xingfa-viet-nam/
DOR_005,Cửa,Cửa đi nhôm kính 2–4 cánh mở trượt,m2,standard,2350000,Neo theo BOQ thực tế,https://cuanhomkinhhn.com/cua-nhom-xingfa-viet-nam/
DOR_006,Cửa,Cửa sổ nhôm kính mở quay/mở hất,m2,standard,1850000,Mức tham khảo thị trường 2026,https://cuanhomkinhhn.com/cua-nhom-xingfa-viet-nam/
DOR_007,Cửa,Vách kính khung nhôm,m2,standard,1900000,Neo theo BOQ thực tế,https://cuanhomkinhhn.com/cua-nhom-xingfa-viet-nam/
DOR_008,Cửa,Cửa cuốn khe thoáng kèm motor,m2,standard,2150000,Giá demo phân khúc tiêu chuẩn,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
CEI_001,Trần,Trần thạch cao phẳng khung chìm,m2,standard,235000,Vật tư + nhân công,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
CEI_002,Trần,Trần thạch cao giật cấp đơn giản,m2,standard,315000,Vật tư + nhân công,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
CEI_003,Trần,Trần thạch cao chống ẩm khu WC,m2,standard,285000,Tấm chống ẩm,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
CEI_004,Trần,Sơn hoàn thiện trần thạch cao,m2,standard,85000,1 lót 2 phủ,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
ELE_001,Điện,Đi dây điện âm tường cho ổ cắm,điểm,standard,520000,"Dây, ống, hộp âm, nhân công; chưa gồm mặt thiết bị",https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
ELE_002,Điện,Đi dây điện âm tường cho công tắc/đèn,điểm,standard,420000,Chưa gồm đèn,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
ELE_003,Điện,Ổ cắm đôi hoàn thiện,bộ,standard,280000,Thiết bị phân khúc tiêu chuẩn,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
ELE_004,Điện,Công tắc đơn/đôi hoàn thiện,bộ,standard,220000,Thiết bị phân khúc tiêu chuẩn,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
ELE_005,Điện,Đèn LED âm trần 7–9W hoàn thiện,bộ,standard,240000,Thiết bị + lắp đặt,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
ELE_006,Điện,Tủ điện tổng gia đình,tủ,standard,6500000,CB và phụ kiện mức tiêu chuẩn,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
ELE_007,Điện,Dây mạng LAN âm tường,điểm,standard,650000,Cáp + ổ + nhân công,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
PLB_001,Cấp thoát nước,Điểm cấp nước lạnh PPR,điểm,standard,850000,"Ống, phụ kiện, nhân công",https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
PLB_002,Cấp thoát nước,Điểm cấp nước nóng PPR,điểm,standard,950000,"Ống, phụ kiện, nhân công",https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
PLB_003,Cấp thoát nước,Điểm thoát nước PVC D60–90,điểm,standard,980000,"Ống, phụ kiện, nhân công",https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
PLB_004,Cấp thoát nước,Ống cấp nước trục đứng PPR,m,standard,320000,Giá tổng hợp,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
PLB_005,Cấp thoát nước,Ống thoát trục đứng PVC D90–110,m,standard,420000,Giá tổng hợp,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
PLB_006,Cấp thoát nước,Bể phốt BTCT hoàn thiện,m3,standard,4200000,Tạm tính theo thể tích,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
PLB_007,Cấp thoát nước,Bể nước ngầm BTCT hoàn thiện,m3,standard,4800000,Tạm tính theo thể tích,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
SAN_001,Thiết bị vệ sinh,Bồn cầu 2 khối tiêu chuẩn,bộ,standard,4200000,INAX/Viglacera hoặc tương đương,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
SAN_002,Thiết bị vệ sinh,Lavabo treo bàn/treo tường tiêu chuẩn,bộ,standard,1800000,Chưa gồm tủ,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
SAN_003,Thiết bị vệ sinh,Vòi lavabo nóng lạnh,bộ,standard,1450000,Phân khúc tiêu chuẩn,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
SAN_004,Thiết bị vệ sinh,Sen tắm nóng lạnh,bộ,standard,2600000,Phân khúc tiêu chuẩn,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
SAN_005,Thiết bị vệ sinh,Vòi xịt vệ sinh,bộ,standard,450000,Thiết bị + lắp,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
SAN_006,Thiết bị vệ sinh,Bộ phụ kiện WC cơ bản,bộ,standard,1200000,"Gương, lô giấy, móc, thanh khăn",https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
ROF_001,Mái & ngoài nhà,Mái tôn chống nóng khung thép hộp,m2,standard,780000,Tôn + khung + lắp dựng,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
ROF_002,Mái & ngoài nhà,Mái ngói trên hệ khung thép,m2,standard,1450000,Ngói + khung + phụ kiện,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
ROF_003,Mái & ngoài nhà,Lát sân gạch chống trơn,m2,standard,390000,Gạch + nền + nhân công,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
ROF_004,Mái & ngoài nhà,Cổng sắt hộp sơn tĩnh điện,m2,standard,1850000,Giá demo,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
ROF_006,Mái & ngoài nhà,"Thoát nước mái, máng và ống đứng",m,standard,320000,Tôn/inox/PVC tùy vị trí,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
